,品类,规格,单位,价格
贝壳类,半开扇贝,10个/400g,盒,12
,扇贝肉,约200克/盒,盒,10
,海蛎肉,500克,斤,14
,10-12头鲍,12头500g,斤,34
,7-8头鲍,8头500g,斤,36
,5-6头鲍,6头,斤,38
,鲍鱼肉,250克约12-15个,盒,38
,螺片,约200克/盒,盒,14
,黄金鲍鱼,2 个一斤,斤,85
,黄金鲍鱼,3 个一斤,斤,60
,黄金鲍鱼,4个一斤,斤,50
,特大黑金鲍,1.2-1.5/只,斤,115
螃蟹类,帝王蟹,3-7斤/只,斤,85
,雪蟹,2-3.5一只,斤,35
,松叶蟹,2-2.5斤/只,斤,35
,肉蟹,3只/斤,斤,27
,面包蟹脚,约10只/斤,斤,14
虾类,3-4头斑节虾,约350克/盒,盒,65
,5-6头斑节虾,约350克/盒,盒,62
,4-5头斑节虾,半斤装/盒,盒,40
,单冻大斑节虾,3两左右/条,斤,85
,4-5头黑虎虾,250克,盒,23
,8-10头黑虎虾,250克,盒,19
,6-7头黑虎虾,250克,盒,20
,樱花虾,250克,盒,18
,沙卢虾,250克,盒,18
,小海虾,250克,盒,6
,去头斑节虾,250克5-8只,盒,26
,虾仁,约200克/盒,盒,16
,花龙,1.8-2.3斤/只,斤,125
,特大红爪虾,0.8-1斤/只,斤,120
,小青龙,400-500克/只,斤,88
鱼类,小银鱼,约200克/盒,盒,12
,午鱼,500克/只,斤,40
,龙胆石斑鱼,500-700克/只,斤,22
,大黄翅鱼,0.5-1斤,斤,35
,马鲛鱼片,500克,斤,25
,扁鳕鱼片,500克2-3片,斤,35
,法国银鳕鱼,0.5-0.8斤/片,斤,180
,小白鲳鱼,4条400克装,盒,16
,野生巴浪鱼,约5条/斤,斤,9
,东星斑,1.2-2斤/条,斤,75
,大东星斑,2-3斤/条,斤,70
,去肚海杂鱼,400/装5-6条,盒,14
,金鲳鱼,500-600克/条,斤,18
,养殖巴浪鱼,2-3只/斤,斤,65
,龙利鱼,2-2.5斤/只,斤,30
,扒皮鱼,2-2.3斤,斤,28
,大带鱼,1-1.8斤,盒,25
,大带鱼段,500克装,盒,23
,斗鲳鱼,2斤-2.5斤/条,斤,110
,斗鲳鱼,1.5-1.8/条,斤,100
,斗鲳鱼,1.2-1.5斤/条,斤,95
,中斗鲳,1-1.2斤/条,斤,85
,海鲈鱼,2斤左右,斤,28
,黄花鱼,0.8-1斤/条,斤,32
,野化深海大黄花鱼,2.4-2.6/条,斤,40
,小黄花鱼,3条装400克,盒,28
,船冻大鱿鱼,1.2-2斤/只,斤,45
,手钓中鱿鱼,0.6-0.8斤/只,斤,42
,八爪鱼,400克装,盒,20
,活冻小管,400克装10-12个,盒,35
其他,海胆膏,约200克/盒,盒,20
,海参,约8-10头/斤,斤,140
,海带苗,400克装,包,6
,虾丸,250克,包,14
,墨鱼丸,250克,包,12
,鲨鱼丸,250克,包,12
,马鲛鱼丸,250克,包,12
,海鲜混合丸,250克,包,12
,墨鱼肠,500克装,包,24
,虾肠,500克装,包,26
,沙虫,约200克/盒,盒,23
,蒲烧烤鳗鱼,约400克/只,只,45
,头水紫菜,500克,斤,80
,6罐装佛跳墙,6罐,份,155
